_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE,α_min,α_max,α_rango
334.3524364,-1.4791878,247.777725,-50.4439111,356,MeWe 1-6,125,172,DSS2,PN MeWe 1-6,MASH,247.77772,-50.44391,1.0150878123971991,2.217789146963945,1.2027013345667457
334.3909949,-9.3453724,257.9376042,-55.4004083,357,IC 4642,143,18,DSS2,IC 4642,MASH,257.9376,-55.40041,0.7943144393289275,2.519202055022083,1.7248876156931554
334.37334,-13.4141902,264.1383333,-57.6058333,358,G334.3-13.4,43,102,MASH,PN G334.3-13.4,MASH,264.13833,-57.60583,0.05430435216444259,3.0892255021611366,3.034921149996694
335.2519479,-3.6202635,251.2506458,-51.2055083,359,HaTr 4,94,144,DSS2,PN HaTr 4,MASH,251.25065,-51.20551,1.0716447683104282,1.7253129136912748,0.6536681453808466
335.4920846,-1.1030553,248.5555333,-49.3536667,360,He 2-169,3,51,DSS2,Hen 2-169,MASH,248.55553,-49.35367,1.4702239077933046,2.2446531054753494,0.7744291976820448
335.4707731,9.2671599,238.3021375,-41.8405972,361,ESO 330-02,4,45,DSS2,ESO 330-02,MASH,238.30214,-41.8406,0.2520063638652496,2.478206893013529,2.2262005291482794
335.5839487,12.4477243,235.7710083,-39.3040444,362,DS 2,115,154,DSS2,PN DS 2,MASH,235.77101,-39.30404,1.5259296776943805,2.722031925202423,1.1961022475080425
336.2881746,-6.9915552,256.5615292,-52.5001111,363,Pc14,106,159,CAM98,PN Pc14,MASH,256.56153,-52.50011,1.5011295343373552,2.618302142942807,1.1171726086054516
336.8228897,-7.2375202,257.3996708,-52.2172139,364,K 2-17,139,13,DSS2,PN K 2-17,MASH,257.39967,-52.21721,0.6730131583882852,2.894882309570896,2.2218691511826107
337.0325355,8.4445784,240.5841667,-41.4530556,365,G337.0+08.4,0,41,MASH,PN G337.0+08.4,MASH,240.58417,-41.45306,1.0730355401852238,2.0117313457302197,0.9386958055449959
337.3141038,0.6360987,248.4916667,-46.8352778,366,G337.3+00.6,124,171,MASH,PN G337.3+00.6,MASH,248.49167,-46.83528,0.6417901405112776,2.769296696762736,2.1275065562514586
